StepID,Segment,Period,TouchTimeAvg,WaitTimeAvg,WIP,Volume
q_intake,New Business,2026-06,,16,38,210
t_intake,New Business,2026-06,0.5,,,210
q_verify,New Business,2026-06,,40,66,205
t_verify,New Business,2026-06,1.3,,,205
q_uw,New Business,2026-06,,26,33,198
t_uw,New Business,2026-06,2.1,,,198
t_issue,New Business,2026-06,0.6,,,196
q_intake,Renewal,2026-06,,6,12,140
t_intake,Renewal,2026-06,0.3,,,140
q_verify,Renewal,2026-06,,9,15,139
t_verify,Renewal,2026-06,0.7,,,139
q_uw,Renewal,2026-06,,11,14,138
t_uw,Renewal,2026-06,1.1,,,138
t_issue,Renewal,2026-06,0.5,,,138
q_intake,New Business,2026-05,,14,30,180
t_intake,New Business,2026-05,0.5,,,180
q_verify,New Business,2026-05,,33,52,176
t_verify,New Business,2026-05,1.2,,,176
q_uw,New Business,2026-05,,21,28,170
t_uw,New Business,2026-05,2.0,,,170
t_issue,New Business,2026-05,0.6,,,169
